Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Distance_description,Price_frequence,mean_price_deviation
Honda,Accord,2018,Sedan,19300.0,1500.0,Petrol,Automatic,18000.0,3,6433.333333333333,1,2,1.342
BMW,X5,2011,Crossover,240000.0,3500.0,Diesel,Automatic,19000.0,10,24000.0,0,2,-0.008
Citroen,DS5,2013,Crossover,206278.0,2000.0,Hybrid,Manual,10750.0,8,25784.75,2,5,
Renault,Grand Scenic,2015,Minivan,123580.0,1500.0,Diesel,Automatic,9500.0,6,20596.666666666668,1,2,0.353
Toyota,Rav 4,2007,Crossover,193883.0,2000.0,Petrol,Automatic,9500.0,14,13848.785714285714,2,2,-0.287
Opel,Astra,2005,Universal,275000.0,1600.0,Petrol,Manual,3700.0,16,17187.5,0,0,-0.162
BMW,5 Series,2006,Sedan,260000.0,3000.0,Diesel,Automatic,9100.0,15,17333.333333333332,0,2,-0.116
Hyundai,Getz,2008,Hatchback,262000.0,1500.0,Diesel,Manual,3200.0,13,20153.846153846152,0,0,0.161
Renault,Scenic,2006,Universal,100000.0,1500.0,Diesel,Manual,2200.0,15,6666.666666666667,1,0,-0.6
Volkswagen,Caddy,2015,Combi,166313.0,2000.0,Metan/Propan,Manual,7900.0,6,27718.83333333333,2,2,0.403
Peugeot,3008,2013,Crossover,192535.0,2000.0,Hybrid,Automatic,10550.0,8,24066.875,2,5,
Vaz,2121niva,1986,Sedan,111111.0,1600.0,Metan/Propan,Manual,2000.0,35,3174.6,1,0,-0.358
Renault,Scenic,2011,Minivan,207000.0,1500.0,Diesel,Manual,5099.0,10,20700.0,2,2,-0.073
Mercedes,E Class,2013,Sedan,170000.0,2200.0,Diesel,Automatic,19500.0,8,21250.0,2,2,0.794
Chevrolet,Aveo,2005,Hatchback,150000.0,1599.0,Petrol,Automatic,2500.0,16,9375.0,2,0,-0.32
Toyota,Land Cruiser Prado,2005,SUV,340000.0,3000.0,Diesel,Automatic,7600.0,16,21250.0,0,2,-0.6
BMW,7 Series,2000,Sedan,456000.0,2800.0,Petrol,Manual,5499.0,21,21714.285714285717,0,2,-0.68
Mercedes,A Class,2011,Hatchback,140000.0,1700.0,Petrol,Automatic,7500.0,10,14000.0,1,2,0.353
Volkswagen,Transporter,2009,Microvan,270635.0,2000.0,Diesel,Manual,10950.0,12,22552.916666666668,0,2,0.835
BMW,4 series,2015,Coupe,145000.0,2000.0,Petrol,Automatic,19000.0,6,24166.666666666668,1,2,-0.141
Toyota,Corolla,2008,Sedan,166000.0,1600.0,Petrol,Automatic,6600.0,13,12769.23076923077,2,2,0.157
Peugeot,508,2012,Sedan,11111.0,2000.0,Hybrid,Automatic,9000.0,9,1234.5555555555557,1,5,
Mercedes,E Class,2008,Sedan,390000.0,2200.0,Diesel,Manual,8500.0,13,30000.0,0,2,-0.218
Subaru,WRX,2015,Sedan,160000.0,1998.0,Petrol,Manual,14500.0,6,26666.666666666668,2,5,
Renault,Megane,2013,Universal,182000.0,1500.0,Diesel,Manual,6200.0,8,22750.0,2,2,0.104
Mercedes,E Class,2020,Sedan,27000.0,1950.0,Diesel,Automatic,43900.0,1,27000.0,1,2,3.04
Jaguar,F-PACE,2017,Crossover,68000.0,1999.0,Diesel,Automatic,34900.0,4,17000.0,1,5,
Skoda,Fabia,2015,Hatchback,148000.0,1200.0,Petrol,Manual,9500.0,6,24666.666666666668,2,2,0.965
Toyota,Rav 4,2009,Crossover,180000.0,2362.0,Petrol,Automatic,11200.0,12,15000.0,2,2,-0.16
KIA,Sorento,2020,SUV,6570.0,1600.0,Hybrid,Automatic,38590.0,1,6570.0,1,2,1.74
Mercedes,E Class,2004,Sedan,254315.0,2200.0,Diesel,Manual,6499.0,17,14959.70588235294,0,2,-0.402
Hyundai,Santa FE,2013,Crossover,139000.0,2000.0,Petrol,Automatic,16000.0,8,17375.0,1,2,-0.024
Mercedes,GLC,2015,SUV,48000.0,2000.0,Petrol,Automatic,26490.0,6,8000.0,1,2,-0.135
Audi,Q7 e-tron,2016,Crossover,116000.0,3000.0,Plug-in Hybrid,Automatic,53900.0,5,23200.0,1,4,
Opel,Astra,2010,Universal,178000.0,1364.0,Petrol,Manual,5100.0,11,16181.818181818182,2,2,0.156
Skoda,Rapid,2016,Sedan,150000.0,1422.0,Diesel,Manual,7299.0,5,30000.0,2,2,-0.076
Opel,Astra,2009,Universal,222568.0,1300.0,Diesel,Manual,4800.0,12,18547.33333333333,0,0,0.088
Volkswagen,Passat,2007,Universal,234452.0,2000.0,Diesel,Manual,6450.0,14,16746.571428571428,0,2,-0.013
Peugeot,207,2009,Hatchback,270000.0,1400.0,Diesel,Manual,3600.0,12,22500.0,0,0,-0.113
Volkswagen,Golf,2010,Hatchback,213452.0,1400.0,Petrol,Manual,5999.0,11,19404.727272727272,2,2,0.048
Volkswagen,Jetta,2016,Sedan,62000.0,1400.0,Petrol,Automatic,9800.0,5,12400.0,1,2,0.26
Dacia,Lodgy,2013,Minivan,180335.0,1500.0,Diesel,Manual,5999.0,8,22541.875,2,2,-0.102
Volvo,V60,2014,Universal,250000.0,2400.0,Plug-in Hybrid,Automatic,13900.0,7,35714.28571428572,0,2,-0.021
Dacia,Logan,2009,Sedan,329000.0,1400.0,Metan/Propan,Manual,2900.0,12,27416.666666666668,0,0,-0.152
Volvo,V70,2016,Universal,176000.0,1969.0,Metan/Propan,Automatic,10000.0,5,35200.0,2,5,
Renault,Megane,2010,Universal,330000.0,1500.0,Diesel,Manual,5490.0,11,30000.0,0,2,-0.023
Volkswagen,Touareg,2004,SUV,250000.0,2500.0,Diesel,Automatic,7999.0,17,14705.882352941177,0,2,-0.391
Renault,Scenic,2012,Universal,270000.0,1500.0,Diesel,Manual,5500.0,9,30000.0,0,2,-0.0
KIA,Rio,2014,Hatchback,132000.0,1200.0,Diesel,Manual,5550.0,7,18857.14285714286,1,2,0.572
Skoda,Fabia,2006,Universal,22222.0,1200.0,Petrol,Manual,2500.0,15,1481.4666666666667,1,0,-0.483
Hyundai,H200,2004,Microvan,26666.0,2500.0,Diesel,Manual,2250.0,17,1568.5882352941176,1,3,
Hyundai,Sonata,2015,Sedan,186000.0,1999.0,Metan/Propan,Automatic,9400.0,6,31000.0,2,2,-0.059
Lexus,RX Series,2005,SUV,212000.0,3000.0,Metan/Propan,Automatic,8990.0,16,13250.0,2,2,-0.558
Ford,Mondeo,2015,Universal,193000.0,1500.0,Diesel,Manual,10500.0,6,32166.666666666668,2,2,0.474
Skoda,Superb,2010,Sedan,260000.0,1400.0,Petrol,Manual,7490.0,11,23636.36363636364,0,2,-0.436
Opel,Corsa,2010,Sedan,172000.0,1400.0,Petrol,Manual,4450.0,11,15636.363636363636,2,0,0.218
KIA,Picanto,2017,Hatchback,129320.0,998.0,Petrol,Automatic,7200.0,4,32330.0,1,5,
Mercedes,C Class,2012,Sedan,160000.0,1800.0,Petrol,Automatic,12200.0,9,17777.777777777777,2,2,0.409
Volkswagen,Passat,2005,Universal,210000.0,2000.0,Petrol,Automatic,4490.0,16,13125.0,2,0,-0.313
Vaz,2121niva,2011,SUV,124000.0,1700.0,Petrol,Manual,3950.0,10,12400.0,1,0,0.268
BMW,X5,2010,Crossover,300000.0,3000.0,Diesel,Automatic,15500.0,11,27272.727272727272,0,2,-0.191
Mercedes,E Class,1997,Sedan,362000.0,2000.0,Petrol,Manual,2100.0,24,15083.333333333334,0,0,-0.807
Volkswagen,Passat,2017,Sedan,90000.0,1400.0,Petrol,Automatic,18000.0,4,22500.0,1,2,1.755
Audi,A4,2010,Sedan,157000.0,2000.0,Petrol,Automatic,10000.0,11,14272.727272727272,2,2,0.25
Audi,A6,2019,Sedan,6500.0,2000.0,Petrol,Automatic,41000.0,2,3250.0,1,2,3.092
Volkswagen,Passat,2008,Sedan,243152.0,1900.0,Diesel,Manual,6499.0,13,18704.0,0,2,-0.005
Hyundai,Santa FE,2018,SUV,37000.0,2000.0,Petrol,Automatic,21500.0,3,12333.333333333334,1,2,0.312
Honda,CR-V,2007,SUV,170000.0,2400.0,Petrol,Automatic,8500.0,14,12142.857142857143,2,2,-0.321
Toyota,Corolla,2009,Sedan,214000.0,1400.0,Diesel,Manual,6990.0,12,17833.333333333332,2,2,0.226
Renault,Scenic,2014,Minivan,175000.0,1500.0,Diesel,Automatic,7800.0,7,25000.0,2,2,0.418
Mercedes,Series (W124),1991,Universal,250000.0,2000.0,Petrol,Manual,2700.0,30,8333.333333333334,0,0,-0.149
Nissan,Qashqai,2010,Crossover,155000.0,1500.0,Diesel,Manual,8700.0,11,14090.90909090909,2,2,-0.196
BMW,X5,2014,SUV,95000.0,3000.0,Petrol,Automatic,25900.0,7,13571.42857142857,1,2,0.352
Mercedes,Viano,2006,Minivan,418000.0,2200.0,Diesel,Automatic,10500.0,15,27866.666666666668,0,2,-0.229
Volvo,XC90,2005,Universal,248720.0,2521.0,Petrol,Automatic,6800.0,16,15545.0,0,2,-0.642
Toyota,Camry,2015,Sedan,200000.0,2400.0,Plug-in Hybrid,Automatic,14000.0,6,33333.333333333336,2,2,0.155
Hyundai,IONIQ,2016,Hatchback,173000.0,1600.0,Hybrid,Automatic,13999.0,5,34600.0,2,5,
Audi,A6,2005,Sedan,220000.0,2000.0,Diesel,Manual,7990.0,16,13750.0,0,2,-0.203
Volvo,XC90,2016,SUV,99000.0,1969.0,Diesel,Automatic,35000.0,5,19800.0,1,2,0.845
Renault,Captur,2015,Crossover,97000.0,1200.0,Petrol,Automatic,9500.0,6,16166.666666666666,1,2,-0.0
Volkswagen,Polo,2015,Hatchback,144785.0,1400.0,Diesel,Automatic,9990.0,6,24130.83333333333,1,2,1.189
Skoda,Rapid,2013,Sedan,74000.0,1200.0,Petrol,Manual,7490.0,8,9250.0,1,2,-0.052
Skoda,Octavia,2014,Universal,232000.0,1600.0,Diesel,Manual,9850.0,7,33142.857142857145,0,2,0.242
Opel,Zafira,2002,Minivan,254213.0,2000.0,Diesel,Manual,3499.0,19,13379.631578947368,0,0,-0.173
Audi,A5,2009,Coupe,180000.0,2000.0,Petrol,Manual,10990.0,12,15000.0,2,2,-0.209
Hyundai,Tucson,2016,SUV,101200.0,1995.0,Diesel,Automatic,18950.0,5,20240.0,1,2,0.454
Ford,Fusion,2013,Sedan,150000.0,2000.0,Hybrid,Automatic,9290.0,8,18750.0,2,2,-0.084
Mercedes,B Class,2014,Hatchback,155000.0,2000.0,Metan/Propan,Automatic,9800.0,7,22142.85714285714,2,2,-0.151
Toyota,Yaris,2013,Hatchback,142000.0,1400.0,Diesel,Manual,6250.0,8,17750.0,1,2,0.161
Lexus,GS Series,2015,Sedan,40000.0,2000.0,Petrol,Automatic,25000.0,6,6666.666666666667,1,2,0.942
BMW,4 series,2015,Coupe,119000.0,2000.0,Petrol,Automatic,19990.0,6,19833.33333333333,1,2,-0.097
Ford,Focus,2015,Universal,182000.0,1500.0,Diesel,Manual,7500.0,6,30333.33333333333,2,2,0.197
Audi,Q7,2017,Crossover,81000.0,2000.0,Petrol,Automatic,39999.0,4,20250.0,1,2,0.319
Toyota,Avensis,2014,Sedan,161000.0,2000.0,Diesel,Manual,11999.0,7,23000.0,2,2,0.694
Toyota,Avensis,2008,Sedan,289565.0,2231.0,Diesel,Manual,7299.0,13,22274.23076923077,0,2,0.031
BMW,X5,2003,SUV,260400.0,3000.0,Diesel,Automatic,5650.0,18,14466.666666666666,0,2,-0.705
Suzuki,S-Cross,2018,Crossover,22500.0,1000.0,Petrol,Manual,10500.0,3,7500.0,1,5,
Hyundai,Sonata,2018,Sedan,59900.0,2000.0,Hybrid,Automatic,17900.0,3,19966.666666666668,1,2,0.792
Skoda,Fabia,2012,Minivan,177577.0,1200.0,Diesel,Manual,5300.0,9,19730.777777777777,2,2,0.096
Volkswagen,Caddy,2008,Minivan,213452.0,1900.0,Diesel,Manual,5999.0,13,16419.384615384617,2,2,0.066
Porsche,Macan,2014,Crossover,82960.0,3000.0,Petrol,Automatic,33900.0,7,11851.42857142857,1,2,-0.124
Chrysler,Grand Voyager,1999,Minivan,320700.0,2500.0,Diesel,Manual,2000.0,22,14577.272727272728,0,3,
Vaz,2109,1993,Hatchback,88000.0,1500.0,Petrol,Manual,16500.0,28,3142.8571428571427,1,2,4.277
Toyota,Avensis,2015,Universal,154000.0,2000.0,Diesel,Manual,12900.0,6,25666.666666666668,2,2,0.821
BMW,X3,2013,Crossover,150000.0,2000.0,Diesel,Automatic,19500.0,8,18750.0,2,2,0.225
Volkswagen,Touran,2010,Minivan,194521.0,1900.0,Diesel,Manual,6499.0,11,17683.727272727272,2,2,-0.035
Nissan,Primera,1993,Sedan,452000.0,1600.0,Petrol,Manual,1200.0,28,16142.857142857143,0,0,-0.476
BMW,X5,2014,SUV,118000.0,3000.0,Petrol,Automatic,26500.0,7,16857.14285714286,1,2,0.384
Lexus,RX Series,2010,SUV,180000.0,3500.0,Hybrid,Automatic,20500.0,11,16363.636363636364,2,2,0.007
Mazda,Premacy,2000,Universal,350000.0,2000.0,Diesel,Manual,2300.0,21,16666.666666666668,0,3,
Lexus,Es Series,2014,Sedan,200000.0,2500.0,Hybrid,Automatic,19200.0,7,28571.42857142857,2,2,0.14
Toyota,Prius,2010,Hatchback,208000.0,1800.0,Petrol,Automatic,7900.0,11,18909.090909090908,2,2,-0.045
Hyundai,i40,2017,Universal,74350.0,1700.0,Diesel,Automatic,14500.0,4,18587.5,1,2,0.406
KIA,Sorento,2006,SUV,280000.0,2497.0,Diesel,Automatic,8000.0,15,18666.666666666668,0,2,-0.432
Dacia,Lodgy,2012,Minivan,172000.0,1461.0,Diesel,Manual,6700.0,9,19111.11111111111,2,2,0.003
Audi,A3,2010,Hatchback,175000.0,1390.0,Petrol,Automatic,7800.0,11,15909.09090909091,2,2,-0.174
Dacia,Logan,2016,Universal,194000.0,1461.0,Diesel,Automatic,7200.0,5,38800.0,2,2,1.106
Volkswagen,Touran,2013,Microvan,163000.0,1390.0,Petrol,Automatic,8700.0,8,20375.0,2,2,0.292
Hyundai,Getz,2005,Coupe,275000.0,1400.0,Petrol,Manual,2500.0,16,17187.5,0,0,-0.093
Renault,Grand Scenic,2013,Microvan,173000.0,1461.0,Diesel,Manual,7800.0,8,21625.0,2,2,0.111
Volkswagen,Touran,2012,Minivan,155005.0,1390.0,Petrol,Automatic,8700.0,9,17222.777777777777,2,2,0.292
Dacia,Duster,2018,Crossover,100000.0,1500.0,Diesel,Automatic,13200.0,3,33333.333333333336,1,2,0.532
Dacia,Lodgy,2012,Microvan,156321.0,1461.0,Diesel,Manual,6999.0,9,17369.0,2,2,0.048
Hyundai,i20,2009,Hatchback,166800.0,1400.0,Diesel,Manual,4300.0,12,13900.0,2,0,-0.211
Skoda,Octavia,2009,Universal,272300.0,1800.0,Petrol,Manual,6490.0,12,22691.666666666668,0,2,-0.182
Seat,Leon,2010,Hatchback,220154.0,1200.0,Petrol,Manual,4999.0,11,20014.0,0,0,-0.139
Toyota,Avensis,2003,Sedan,331000.0,1800.0,Petrol,Manual,5200.0,18,18388.88888888889,0,2,-0.266
Dacia,Logan,2006,Sedan,258000.0,1390.0,Metan/Propan,Manual,2500.0,15,17200.0,0,0,-0.269
Other,Model S,2016,Hatchback,52000.0,450.0,Electric,Automatic,39900.0,5,10400.0,1,5,
Fiat,Grande Punto,2009,Hatchback,184000.0,1400.0,Metan/Propan,Manual,3250.0,12,15333.333333333334,2,3,
Honda,Accord,2011,Sedan,168000.0,2000.0,Petrol,Automatic,7200.0,10,16800.0,2,2,-0.063
Nissan,Primera,2000,Universal,40000.0,2000.0,Petrol,Manual,2200.0,21,1904.7619047619048,1,0,-0.04
Mazda,6,2003,Universal,210000.0,2000.0,Diesel,Manual,3850.0,18,11666.666666666666,2,0,-0.341
Skoda,Superb,2015,Sedan,134000.0,1988.0,Petrol,Automatic,15999.0,6,22333.33333333333,1,2,0.205
Opel,Vectra,1994,Sedan,554268.0,1400.0,Petrol,Manual,650.0,27,20528.444444444445,0,0,-0.693
Volkswagen,Golf,2012,Universal,162000.0,1400.0,Petrol,Automatic,7600.0,9,18000.0,2,2,0.327
Mercedes,A Class,2007,Hatchback,143549.0,1500.0,Petrol,Manual,3600.0,14,10253.5,1,0,-0.351
Mitsubishi,Grandis,2008,Minivan,224000.0,2000.0,Diesel,Manual,7750.0,13,17230.76923076923,0,5,
Dacia,Duster,2015,SUV,115000.0,1200.0,Petrol,Manual,8700.0,6,19166.666666666668,1,2,0.01
BMW,7 Series,2006,Sedan,145000.0,4500.0,Diesel,Automatic,7900.0,15,9666.666666666666,1,2,-0.541
BMW,3 Series,2008,Universal,237123.0,1998.0,Diesel,Automatic,8299.0,13,18240.23076923077,0,2,0.197
Volkswagen,Golf,1996,Hatchback,350653.0,1600.0,Metan/Propan,Manual,1689.0,25,14026.12,0,0,-0.705
Ford,C-Max,2016,Minivan,190200.0,1500.0,Diesel,Manual,8700.0,5,38040.0,2,2,0.147
Mercedes,S Class,2009,Sedan,227685.0,3500.0,Diesel,Automatic,19499.0,12,18973.75,0,2,0.092
Mazda,626,1994,Sedan,286450.0,1800.0,Petrol,Manual,1200.0,27,10609.25925925926,0,0,-0.444
Audi,S5,2013,Sedan,171009.0,1800.0,Petrol,Automatic,13700.0,8,21376.125,2,5,
Toyota,Avensis,2003,Hatchback,225000.0,1800.0,Petrol,Manual,4400.0,18,12500.0,0,0,-0.379
Hyundai,i30,2010,Universal,203000.0,1400.0,Petrol,Manual,4700.0,11,18454.545454545456,2,0,-0.246
Volkswagen,Tiguan,2008,Crossover,157000.0,1390.0,Petrol,Manual,7500.0,13,12076.923076923076,2,2,-0.387
Chrysler,Stratus,2000,Cabriolet,160000.0,2500.0,Metan/Propan,Automatic,2500.0,21,7619.047619047619,2,3,
Audi,A6,2013,Sedan,158000.0,1984.0,Petrol,Automatic,14500.0,8,19750.0,2,2,0.447
Volkswagen,Tiguan,2016,Crossover,28643.0,2000.0,Petrol,Automatic,13800.0,5,5728.6,1,2,0.129
Opel,Insignia,2016,Sedan,105000.0,1600.0,Petrol,Automatic,10990.0,5,21000.0,1,2,0.21
Volvo,XC90,2013,Crossover,141400.0,2400.0,Diesel,Automatic,22499.0,8,17675.0,1,2,0.186
Hyundai,Getz,2009,Hatchback,200000.0,1400.0,Petrol,Manual,3300.0,12,16666.666666666668,2,0,0.198
Fiat,Multipla,2002,Minivan,294000.0,1599.0,Metan/Propan,Manual,2200.0,19,15473.684210526317,0,3,
Honda,Civic,2009,Sedan,165000.0,1300.0,Hybrid,Automatic,6400.0,12,13750.0,2,2,0.104
Skoda,Fabia,2005,Universal,220000.0,1400.0,Diesel,Manual,3550.0,16,13750.0,0,0,-0.266
Ford,Ka,2011,Coupe,149000.0,1300.0,Diesel,Manual,3999.0,10,14900.0,2,3,
Mazda,323,1992,Sedan,30000.0,1600.0,Petrol,Automatic,1300.0,29,1034.4827586206898,1,0,-0.579
Volkswagen,Passat,1992,Sedan,350000.0,1900.0,Diesel,Manual,1400.0,29,12068.96551724138,0,0,-0.786
Toyota,Auris,2015,Universal,174000.0,1800.0,Hybrid,Automatic,10500.0,6,29000.0,2,2,0.276
Toyota,Auris,2012,Universal,115700.0,1400.0,Diesel,Manual,7350.0,9,12855.555555555557,1,2,-0.107
Skoda,Superb,2016,Sedan,110000.0,1400.0,Petrol,Automatic,13490.0,5,22000.0,1,2,0.016
Renault,Scenic,2017,Minivan,119800.0,1500.0,Diesel,Automatic,13850.0,4,29950.0,1,2,1.518
Ford,Focus,2011,Hatchback,190000.0,1400.0,Metan/Propan,Manual,5400.0,10,19000.0,2,2,-0.139
Mercedes,E Class,2014,Sedan,173000.0,2148.0,Diesel,Automatic,26999.0,7,24714.285714285717,2,2,1.485
KIA,Carens,2016,Minivan,150285.0,1999.0,Metan/Propan,Automatic,10210.0,5,30057.0,2,5,
Renault,Laguna,2002,Hatchback,195000.0,1998.0,Petrol,Manual,3000.0,19,10263.157894736842,2,0,-0.338
Renault,Megane,2015,Universal,200000.0,1500.0,Diesel,Manual,7100.0,6,33333.333333333336,2,2,0.264
Skoda,Octavia,2010,Universal,160880.0,1800.0,Petrol,Automatic,6500.0,11,14625.454545454546,2,2,-0.18
Infiniti,QX30,2017,Crossover,117500.0,1500.0,Diesel,Automatic,16500.0,4,29375.0,1,5,
Toyota,Urban Cruiser,2010,SUV,167500.0,1400.0,Diesel,Manual,7850.0,11,15227.272727272728,2,2,0.016
Nissan,Qashqai,2017,SUV,138700.0,1500.0,Diesel,Manual,12999.0,4,34675.0,1,2,0.202
Volvo,XC90,2009,SUV,293350.0,2400.0,Diesel,Automatic,13350.0,12,24445.83333333333,0,2,-0.296
Lexus,RX Series,2005,SUV,220000.0,3000.0,Metan/Propan,Automatic,9599.0,16,13750.0,0,2,-0.528
Infiniti,QX30,2016,Crossover,108700.0,1500.0,Diesel,Automatic,14999.0,5,21740.0,1,5,
Skoda,Octavia,2014,Hatchback,180000.0,1400.0,Petrol,Manual,8500.0,7,25714.285714285717,2,2,0.072
Renault,Captur,2015,Crossover,128700.0,1500.0,Diesel,Automatic,9700.0,6,21450.0,1,2,0.021
Toyota,Verso-S,2012,Universal,115700.0,1400.0,Diesel,Manual,7350.0,9,12855.555555555557,1,2,0.043
Skoda,Octavia,2019,Sedan,23800.0,1600.0,Petrol,Manual,13700.0,2,11900.0,1,2,0.728
Nissan,Qashqai,2015,SUV,147500.0,1500.0,Diesel,Manual,11350.0,6,24583.33333333333,2,2,0.049
Renault,Grand Scenic,2018,Minivan,118700.0,1500.0,Diesel,Automatic,14900.0,3,39566.66666666666,1,2,1.122
Infiniti,Q Series,2017,Crossover,109800.0,1500.0,Diesel,Automatic,16350.0,4,27450.0,1,5,
Renault,Grand Scenic,2017,Minivan,105700.0,1500.0,Diesel,Manual,12350.0,4,26425.0,1,2,0.759
Nissan,Juke,2016,SUV,98700.0,1500.0,Diesel,Manual,10850.0,5,19740.0,1,2,0.184
Dacia,Duster,2018,SUV,93700.0,1500.0,Diesel,Manual,11500.0,3,31233.33333333333,1,2,0.334
Dacia,Sandero Stepway,2014,Crossover,157500.0,1500.0,Diesel,Manual,5999.0,7,22500.0,2,2,-0.039
Nissan,Qashqai,2017,SUV,127500.0,1500.0,Diesel,Manual,13350.0,4,31875.0,1,2,0.234
Mercedes,E Class,2010,Sedan,197246.0,2143.0,Diesel,Automatic,17499.0,11,17931.454545454544,2,2,0.61
Renault,Kadjar,2016,SUV,139500.0,1500.0,Diesel,Automatic,12750.0,5,27900.0,1,2,-0.032
Renault,Megane,2015,Universal,157500.0,1500.0,Diesel,Manual,7450.0,6,26250.0,2,2,0.326
Dacia,Logan,2011,Sedan,342000.0,1200.0,Metan/Propan,Manual,2650.0,10,34200.0,0,0,-0.225
Toyota,Corolla,2005,Hatchback,260000.0,1400.0,Diesel,Manual,5450.0,16,16250.0,0,2,-0.044
Volvo,XC90,2016,Crossover,42000.0,2000.0,Petrol,Automatic,48000.0,5,8400.0,1,2,1.53
Renault,Modus,2011,Hatchback,191000.0,1500.0,Diesel,Manual,4450.0,10,19100.0,2,3,
Hyundai,Tucson,2005,Crossover,280000.0,2000.0,Metan/Propan,Manual,5450.0,16,17500.0,0,2,-0.582
Toyota,Avensis,2006,Universal,255000.0,2230.0,Diesel,Manual,7150.0,15,17000.0,0,2,0.01
KIA,Ceed,2012,Universal,196000.0,1400.0,Diesel,Manual,6300.0,9,21777.777777777777,2,2,0.115
Renault,Megane,2005,Universal,249000.0,1500.0,Diesel,Automatic,3500.0,16,15562.5,0,0,-0.377
Seat,Ibiza,2011,Hatchback,167000.0,1200.0,Diesel,Manual,4100.0,10,16700.0,2,0,-0.164
BMW,X5,2014,SUV,162000.0,3000.0,Diesel,Automatic,37000.0,7,23142.85714285714,2,2,0.932
Toyota,Rav 4,2017,Crossover,168000.0,2500.0,Hybrid,Automatic,19400.0,4,42000.0,2,2,0.455
Skoda,Octavia,2011,Universal,240000.0,1800.0,Petrol,Manual,2200.0,10,24000.0,0,0,-0.723
Toyota,Auris,2016,Hatchback,90000.0,1400.0,Diesel,Manual,11300.0,5,18000.0,1,2,0.373
Hyundai,Santa FE,2016,SUV,154298.0,1995.0,Diesel,Automatic,14900.0,5,30859.6,2,2,-0.091
Seat,Ibiza,2011,Universal,196000.0,1200.0,Diesel,Manual,4800.0,10,19600.0,2,0,-0.022
Vaz,2106,1991,Sedan,11111.0,1600.0,Petrol,Manual,550.0,30,370.3666666666667,1,0,-0.884
Volkswagen,Passat,1998,Universal,352225.0,1900.0,Diesel,Manual,1150.0,23,15314.130434782608,0,0,-0.824
Renault,Grand Scenic,2012,Minivan,121700.0,1500.0,Diesel,Automatic,7700.0,9,13522.222222222224,1,2,0.096
Skoda,Octavia,2017,Universal,190000.0,1400.0,Metan/Propan,Automatic,11600.0,4,47500.0,2,2,0.463
Hyundai,Accent,1997,Hatchback,12000.0,1300.0,Petrol,Manual,650.0,24,500.0,1,0,-0.84
Toyota,Corolla,2004,Hatchback,600000.0,1400.0,Diesel,Automatic,3333.0,17,35294.117647058825,0,0,-0.416
Renault,Grand Scenic,2009,Minivan,205000.0,1500.0,Diesel,Manual,4550.0,12,17083.333333333332,2,0,-0.352
Opel,Astra,2018,Universal,121000.0,1600.0,Diesel,Manual,9900.0,3,40333.333333333336,1,2,1.243
Opel,Astra,2012,Universal,83150.0,1300.0,Diesel,Manual,7200.0,9,9238.888888888889,1,2,0.631
Mitsubishi,Pajero,1999,SUV,249000.0,3000.0,Petrol,Automatic,3500.0,22,11318.181818181818,0,0,-0.603
Toyota,Prius,2012,Hatchback,245929.0,1800.0,Hybrid,Automatic,7500.0,9,27325.444444444445,0,2,-0.093
Peugeot,206,2004,Hatchback,205000.0,1398.0,Diesel,Manual,2500.0,17,12058.823529411764,2,0,0.076
Mercedes,GLS Klass,2020,SUV,14223.0,3000.0,Petrol,Automatic,85000.0,1,14223.0,1,4,
Audi,A6,2012,Universal,199000.0,2000.0,Diesel,Automatic,15750.0,9,22111.11111111111,2,2,0.572
BMW,X5,2017,Crossover,60498.0,3000.0,Diesel,Automatic,49999.0,4,15124.5,1,2,1.611
Skoda,Octavia,2005,Sedan,180000.0,1600.0,Petrol,Manual,3600.0,16,11250.0,2,0,-0.546
Volkswagen,Passat,2009,Universal,218000.0,1400.0,Metan/Propan,Automatic,6500.0,12,18166.666666666668,0,2,-0.005
Other,9-5,1999,Sedan,222456.0,300.0,Petrol,Automatic,2500.0,22,10111.636363636364,0,3,
Volkswagen,Passat,2009,Sedan,210000.0,1900.0,Diesel,Manual,2000.0,12,17500.0,2,0,-0.694
Toyota,Auris,2009,Hatchback,239381.0,1364.0,Diesel,Manual,6350.0,12,19948.416666666668,0,2,-0.228
Ford,Fusion,2013,Sedan,179000.0,2000.0,Hybrid,Automatic,11899.0,8,22375.0,2,2,0.173
KIA,Sorento,2017,SUV,181000.0,1995.0,Diesel,Automatic,17900.0,4,45250.0,2,2,0.271
Hyundai,IONIQ,2016,Hatchback,33371.0,1580.0,Hybrid,Automatic,13730.0,5,6674.2,1,5,
Renault,Trafic,2008,Microvan,350537.0,1998.0,Diesel,Manual,6555.0,13,26964.384615384617,0,5,
Toyota,Corolla,2019,Sedan,19000.0,1790.0,Petrol,Automatic,15500.0,2,9500.0,1,2,1.718
Toyota,Urban Cruiser,2010,Hatchback,209123.0,1400.0,Diesel,Manual,6800.0,11,19011.18181818182,2,2,-0.12
BMW,X1,2012,SUV,181000.0,2800.0,Petrol,Automatic,12500.0,9,20111.11111111111,2,2,-0.227
Lexus,CT Series,2012,Hatchback,209123.0,1800.0,Hybrid,Automatic,9700.0,9,23235.88888888889,2,2,-0.152
